company,job_description,company_rating,location,salary_avg_estimate,educational_level,years_of_experience,skills_req,job_title
Movate Technologies,Senior/Lead - data Analyst,3.7,"Chennai, Bengaluru, Hyderabad",1320000,Bachelors,9.0,"Data Analysis,SQL,Python,verbal,written communication,Analytical,R,IT Skills",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,Bengaluru,480000,Bachelors,1.0,"SAS,Data management,Business analysis,Project management,Analytical,Customer service,Analytics,Financial services",Data Analyst
Cleartrail Technologies,Senior Data Analyst,2.6,"Pune, Mumbai, Indore, Bengaluru, Hyderabad, Noida, Jaipur",720000,Masters,1.0,"IT Skills,Python,Machine Learning,Oracle,Big Data,Tableau,Power BI,Linux",Data Analyst
Advance Talent Services ,DATA Scientist - Gurgaon MNC,4.1,"Delhi NCR, Gurgaon",660000,Bachelors,2.5,"DATA SCIENTIST,QlikView,Data Gathering,Matplotlib,Python,Tableau,Hadoop,Big data",Data Scientist
JEETJATAN SOLUTIONS PRIVATE LIMITED,Data Scientist,4.1,Bengaluru,1800000,PhD,9.0,"Python,Predictive Modeling,Logistic Regression,Fintech,Finance,Banking,SQL,Data Science",Data Scientist
Seven Consultancy (HR Solution),Data Analytics Manager,4.1,Bengaluru,840000,Bachelors,5.0,"Executive leadership,Data analysis,data science,big data analytics,Process improvement,Data collection,Consultancy,microsoft",Data Analyst
Einnel Technologies,Master Program in Data Driven CAE,3.6,Chennai,360000,Diploma,1.0,"Python,Keras,Communication,Tensor flow,IT Skills,Data Science,Cae,C + +",Other
Truecaller,Data Engineer,4.2,Bengaluru,1560000,PhD,7.0,"Data Science,Communication Skills,Big Data,Data Engineer,Spark,Aws,Ios,Android",Data Engineer
Product Academy,Business Analyst,4.2,"Ahmedabad, Indore, Bengaluru",360000,Diploma,1.0,"Business Analysis,Python,MIS,SaaS,R,BOM,SDLC,MDM",Business Analyst
Wells Fargo,Data Management Analyst,4.2,"Bengaluru, Hyderabad",1320000,Masters,7.0,"Data analysis,Data management,Fixed income,Capital market,Investment banking,Operations,Monitoring,commercial real estate",Data Analyst
Alphastream Technologies,Data and Research analyst,4.2,Bengaluru(Sampangirama Nagar),660000,Bachelors,2.5,"fianance,capita market,Research",Data Analyst
Accenture,Big Data Analysis Tool and Techniques Application Developer,4.1,Hyderabad,480000,Bachelors,0.0,"Business process,Data analysis,SQL,Python,Data architecture,Shell Script,Communication,Spark",Developer
Reputed Engineering College in Bengaluru ( Bannerghatta Road ) - Karnataka,Assistant Professor - Master of Computer Applications ( MCA ),4.1,Bengaluru,660000,Bachelors,2.5,"Professor,MCA,Computer Science,Computer Application,Assistant Professor,BCA,B.Sc,Artificial Intelligence",Other
Right Vibe LLP   ,Immediate Joiner - Senior Data Scientist (Python & NLP),4.1,Pune,660000,Bachelors,2.5,"Natural Language Processing,Machine Learning,Python,IT Skills,Testing,Data Science,Cloud Services,Data Modeling",Data Scientist
Consult ShekharPandey,AVP/VP - Senior Data & Digital Program Manager - Insurance,4.1,Mumbai,480000,Bachelors,0.0,"Program Management,Business Intelligence,advanced analytics,Data analysis,Microsoft Project,Tech stack,BI,OLAP",IT Professional
Talent Et Au-dela,Data Governance Lead - Sr. Manager Level,4.1,Pune,660000,Bachelors,2.5,"data science,Project management,Analytical,data governance,Manager Technology,Healthcare,Data quality,Data analytics",Other
Athensinfosolutions,Intern - Data Analyst,4.1,"Temp. WFH - Pune, Bengaluru, Mohali",360000,Diploma,1.0,"Data Maintenance,Ms World",Data Analyst
Crisil,Senior Research Analyst,3.9,Pune,1320000,Masters,7.0,"Bloomberg,data science,CFA Level 1,Fundamental research,Regression analysis,Research Analyst,SQL,Python",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,Bengaluru,660000,Bachelors,2.5,"remediation,metadata,Data management,Business analysis,Transfer pricing,Data quality,data mapping,Stakeholder management",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,Bengaluru,900000,Masters,2.5,"Excel,Data modeling,Analytical,Transfer pricing,Data quality,Business strategy,Data mining,Stakeholder management",Data Analyst
IHS Markit,Sr Data Analyst II,4.1,"Bengaluru, Gurgaon",660000,Bachelors,2.5,"MS Excel,Knime,communication,SQL,analytical,Python,IT Skills,Data Science",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,"Bengaluru, Hyderabad",720000,Masters,1.0,"remediation,metadata,Data management,Business analysis,Project management,Data quality,data management analyst,Operations",Data Analyst
Thomson Reuters,Senior Data Analyst,4.3,Bengaluru,1320000,Masters,7.0,"data cleansing,Change management,Data validation,Data migration,SAP,Diversity and Inclusion,Taxation,JIRA",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,Bengaluru,1080000,Bachelors,7.0,"remediation,Due diligence,Analytical,Transfer pricing,Business strategy,data mapping,Stakeholder management,Teradata",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,Bengaluru,720000,Masters,1.0,"Administration,Usage,metadata,Data management,Data quality,Macros,Operations,Information technology",Data Analyst
Wells Fargo,Senior Data Management Analyst,4.2,Bengaluru,660000,Bachelors,2.5,"Business process,SAN,Automation,Manager Quality Assurance,Data management,Teradata,Risk management,JIRA",Data Analyst
Morningstar,Senior Data Quality Assurance Analyst,4.3,"Navi Mumbai, Mumbai (All Areas)",660000,Bachelors,2.5,"Sustainability,ESG,Climate Change,Sustainable Development,Quality Check,Research,Quality Assurance,Quality Control",Data Analyst
Joveo,Data Scientist,3.1,Bengaluru,660000,Bachelors,2.5,"IT Skills,Python,Data Science,Machine Learning,Cloud,Big Data,deep learning,Staffing",Data Scientist
Zebra Technologies,"Data Scientist, Advanced",4.2,Bengaluru,360000,Diploma,1.0,"Data Science,deep learning,python,r,machine learning,big data,data engineering,artificial intelligence",Data Scientist
FROST INTERACTIVE SERVICES PRIVATE LIMITED ( ACE Online),Data Scientist,3.1,"Hybrid - Bengaluru, Hyderabad",1320000,Masters,7.0,"Data Science,NLP,Artificial Intelligence,Natural Language Processing,Machine Learning",Data Scientist
White Crow Research,Principal Data Scientist,3.4,Bengaluru,1800000,PhD,9.0,"Data Science,Machine Learning,AWS,Factor Analysis,Artificial Intelligence,Deep Learning,Framework",Data Scientist
AVAP Agile,AVAP Agile Information Systems - Data Scientist - Machine Learning,3.4,"Chennai, Pune, Delhi NCR, Mumbai, Ahmedabad, Bengaluru, Hyderabad, Kolkata",1800000,PhD,9.0,"Machine Learning,IT Skills,Python,C++,Linux,Data science,Perl",Data Scientist
CTD Techs,Data Scientist,4.6,"Chennai, Bengaluru",660000,Bachelors,2.5,"Python,BP,Abby Fine reader,AWS Textract,Abby Flexi Capture,IBM Datacap,AA,OCR",Data Scientist
Marsh Mclennan Global Services India,Data Scientist,4.3,"Hybrid - Pune, Mumbai",360000,Diploma,1.0,"data science,python,scala,power bi,machine learning,artificial intelligence",Data Scientist
PayU,Technical Recruiter - Data,4.2,Bengaluru,360000,Diploma,0.0,"data science,Process improvement,Manager Technology,Data analytics,Stakeholder management,Individual Contributor,Financial services,Investment",IT Professional
Tekion,Principal Data Scientist,3.9,Bengaluru,480000,Bachelors,1.0,"Machine Learning,git,big data,Data Science,analytics,verbal,Python,presentation",Data Scientist
Zoom Start India,Data Scientist - Online,3.9,Bengaluru,1800000,PhD,9.0,"Customer analytics,Spotfire,Python,Google Analytics,Salesforce Marketing Cloud,Tableau,Data bricks,SageMaker",Data Scientist
Gforce Consulting Solutions,Data Scientist,3.9,Bengaluru,480000,Bachelors,1.0,"tableau,data science,spark,Demand forecasting,Machine learning,Data structures,Object oriented programming,Statistics",Data Scientist
Sixt,SIXT Staff Data Scientist,3.8,Bengaluru,1320000,Masters,7.0,"data science,Machine learning,Hypothesis Testing,Programming,Deployment,Data analytics,Subject Matter Expert,Analytics",Data Scientist
Sixt,Data Scientist III,3.8,Bengaluru,840000,Bachelors,5.0,"Scientist III,data science,Machine learning,Hypothesis Testing,Programming,Data analytics,Subject Matter Expert,Analytics",Data Scientist
Gloinnt,Data Scientist,3.2,Bengaluru,360000,Diploma,1.0,"deep learning,data science,Web application,Refinery,Forecasting",Data Scientist
Adamas tech consulting ,Data Scientist,4.5,Kolkata,1800000,PhD,9.0,"Data Science,Analytical Skills,Visualization Technologies,Tableau,Statistics,Machine Learning,Python,SQL",Data Scientist
kk consulting services,Data Scientist,4.5,Bengaluru,1320000,Masters,7.0,"Mining,Business process,advanced analytics,customer analytics,Statistical analysis,data science,Machine learning,Healthcare",Data Scientist
Talent Zone Consultant,Data Scientist,4.4,Bengaluru,360000,Diploma,1.0,"Data Science,Business Intelligence,R,Key Skills,Data Scientist,C + +,Hadoop,Computer Science",Data Scientist
Betterplace Safety Solutions,Data Scientist - II,3.9,Bengaluru,480000,Bachelors,1.0,"ML algorithms,git,databases,CI,scikit,Postgresql,Data Science,Jupyter Notebook",Data Scientist
Huquo Consulting Pvt. Ltd,Manager - Analytics/Data Modelling - KPO,3.9,Gurgaon,1080000,Bachelors,7.0,"Public Relations,Campaign Management,Marketing,analytics,functional testing,data analysis,data science,machine learning",Other
Seven Consultancy (HR Solution),Data Scientist,3.9,Bengaluru,1320000,Masters,7.0,"data science,big data analytics,Workflow management,Consulting,Machine learning,Infrastructure,Programming,Data structures",Data Scientist
Pegasus Knowledge Solutions India Private Limited,Data Scientist,3.8,Bengaluru,360000,Diploma,1.0,"SAS Enterprise Miner,Data Modelling,SAS,SAS Base,EDA Deep SQL,Python Data science,MS Excel,IT Skills",Data Scientist
TMD - The Modern Dimension,Data Scientist,3.8,"Delhi, Bengaluru",1080000,Masters,5.0,"Data Science,Data Scientist,Machine Learning,Algorithm",Data Scientist
Dev Solutions,Data Scientist,3.8,Bengaluru,660000,Bachelors,2.5,"Advanced Analytics,Predictive modeling,Data Science,Python,SQL,database,IT Skills,Machine Learning",Data Scientist
Dev Solutions,Principal Data Scientist,3.8,Bengaluru,360000,Diploma,1.0,"Spark,Data Science,PyTorch,object - oriented,Python,Machine Learning,Tensorflow,Scala",Data Scientist
WSD Consultant,Junior Data Scientist/ta,4.4,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Gurgaon",360000,Diploma,1.0,"E-learning,Technology management,data science,Application programming,Artificial Intelligence,Machine learning,Manager Technology,Management",Data Scientist
Tookitaki Holding PTE LTD,Data Scientist,2.0,Bengaluru,360000,Diploma,1.0,"written,machine learning,Hadoop,predictive analytics,Spark,communication,SQL,verbal",Data Scientist
Inference Labs,Data Scientist,3.6,Bengaluru,660000,Bachelors,2.5,"Tableau,R,Qlikview,Excel,Python,SQL,Power BI,IT Skills",Data Scientist
BOOKMYSHOW.COM,Data Scientist,3.9,Mumbai,1080000,Masters,5.0,"Data Science,Data Scientist,Spark,Ci / Cd,Aws,Machine Learning,Deep Learning,Python",Data Scientist
Shell,Data Scientist,4.4,Bengaluru,840000,Bachelors,5.0,"data science,R,econometrics,Data Scientist,predictive analytics,psychometrics,applied statistics,Python",Data Scientist
TeamPlus Staffing Solution Pvt Ltd,"Data scientist- Python , SQL",4.7,Bengaluru,1800000,PhD,9.0,"Team management,data science,Coding,Machine learning,Programming,Mentor,Scheduling,Management",Data Scientist
Team4progress,Data Scientist - Python,5.0,Bengaluru,840000,Bachelors,5.0,"Computer vision,deep learning,GIT,data science,Programming,Transformers,Research,Open source",Data Scientist
kk consulting services,Data Scientist,5.0,Bengaluru,1080000,Masters,5.0,"Computer vision,data science,Analytical,Machine learning,Data mining,Software services,SQL,Python",Data Scientist
Multi Recruit,SDE2 Data Scientist,4.7,Bengaluru,660000,Bachelors,2.5,"Data Science,Bpo,Customer Service,Logistic Regression,Telecalling,Credit Risk,Machine Learning,Python",Data Scientist
Multi Recruit,SDE1 Data Scientist,4.7,Bengaluru,660000,Bachelors,2.5,"Data Science,Bpo,Customer Service,Logistic Regression,Telecalling,Credit Risk,B . Tech,Personal Loans",Data Scientist
Draup,Data Scientist,4.0,Bengaluru,360000,Diploma,1.0,"IT Skills,Python,Data Science,AWS,deep learning,PDF,spark,Deployment",Data Scientist
Talchemist,Data Scientist,1.6,Bengaluru,1800000,PhD,9.0,"data cleansing,Project development,data science,Machine learning,Hadoop,Agile,data visualization,Predictive analytics",Data Scientist
Talentica Software India Pvt Ltd,Data Scientist,4.3,Bengaluru,660000,Bachelors,2.5,"IT Skills,Python,Data Science,Machine Learning,Product engineering,Coding,Information technology management,Pattern recognition",Data Scientist
Diverse Lynx,Data Scientist,3.3,Bengaluru,1560000,PhD,7.0,"Computer science,deep learning,data science,spark,consumer marketing,Machine learning,Forecasting,Business understanding",Data Scientist
Altigreen,Data Scientist,4.0,Bengaluru,840000,Bachelors,5.0,"deep learning,Data management,data science,Machine learning,Packaging,Performance optimization,Data quality,Unit testing",Data Scientist
Awake Security,Data Scientist,4.0,Bengaluru,1320000,Masters,7.0,"Jupyter,AI,data science,SQL,Python,Scala,IT Skills,Big Data",Data Scientist
Koch Industries,Data Scientist,3.8,Bengaluru,1320000,Masters,7.0,"data science,Business analytics,Machine learning,Web development,Agile,System design,Scrum,Open source",Data Scientist
Braintosoul Consulting,Data Scientist,3.8,Bengaluru,480000,Bachelors,1.0,"IT Skills,Testing,Data Science,Computer science,hive,Usage,NoSQL,query",Data Scientist
Tech Mahindra,Hiring For Data Engineer + Big Data + Automotive,3.7,Nagpur,1080000,Masters,5.0,"big data,bigdata,java,data science,scala,spark,data engineer,data structures",Data Engineer
Siemens,Data Engineer - Smart Building Analytics,4.2,Pune,840000,Bachelors,5.0,"data science,Agile,Manager Technology,Siemens,Data analytics,big data,Team Head,Python",Data Engineer
Puma Sports India,Business Analyst,4.2,Bengaluru,660000,Bachelors,2.5,"Data analysis,Statistical analysis,data science,Business Analyst,Analytical,Signal processing,Data Analyst,data visualization",Business Analyst
Aditya Birla Finance,Analyst,4.0,Mumbai (All Areas),360000,Diploma,1.0,"Data Anlalytics,Data Science,Predictive Modeling,Business Analytics,Analytics",Data Analyst
moglix,Business Analyst,3.6,Noida,660000,Bachelors,2.5,"Business process,Computer science,Product management,SQL queries,Data management,Business Analyst,data science,SAS R",Business Analyst
Jar,Data Analyst,3.6,Bengaluru,360000,Diploma,1.0,"Amplitude,Clevertap,analytical,NumPy,Scikit,Matplotlib,Power BI,Tableau",Data Analyst
Augie Pets India Pvt limited,Data Analyst,3.6,Bengaluru,1800000,PhD,9.0,"Market analysis,Usage,Excel,Data collection,Database,Data Analyst,data visualization,Troubleshooting",Data Analyst
Physicswallah,Data Analyst,4.5,"Temp. WFH - Bengaluru, Noida",660000,Bachelors,2.5,"excel,python,strong analytical skills,SQL",Data Analyst
Defmacro Software,Data Analyst,3.5,Bengaluru,660000,Bachelors,2.5,Excel,Data Analyst
Wells Fargo,Data Management Analyst,4.2,Bengaluru,1080000,Masters,5.0,"remediation,metadata,Data management,Business analysis,Project management,Data quality,data management analyst,data mapping",Data Analyst
Wipro,Batch Data Analyst,3.9,"Hybrid - Bengaluru, Gurgaon",480000,Bachelors,1.0,"snowflake,python,data analysis,hadoop,sql,linux,problem management",Data Analyst
Wipro,Technical Data Analyst,3.9,"Hybrid - Bengaluru, Gurgaon",1080000,Masters,5.0,"Data Transformation,Data Modeling,Tableau,ETL,sql,Snowflake,written communication,Warehouse",Data Analyst
IndiaMART,MIS Analyst | Data Analyst,3.7,Noida,1320000,Masters,7.0,"tableau,Excel,Reconciliation,Data Analyst,Business intelligence,MIS Analyst,Management reporting,SQL",Data Analyst
St. John’s Research Institute,Data Analyst,4.0,Bengaluru,480000,Bachelors,1.0,"Nutrition,Coding,CRC,Data Analyst,Research,Bioinformatics,Python",Data Analyst
UPL Limited,Analyst - Data Scientist,4.3,Mumbai,660000,Bachelors,2.5,"Python,Presto,Hive,Spark,AWS,Pig,SQL",Data Scientist
Ajanta Tech Agro,Job Opportunity For Data Analyst Graduates,4.3,Pune,480000,Bachelors,1.0,Data Analysis,Data Analyst
Rystad Energy India,Data Analyst,3.7,Bengaluru,480000,Bachelors,1.0,"Data analysis,Data management,Database design,Analytical,Machine learning,Algorithm development,Forecasting,Information technology",Data Analyst
TresVista Financial,Analyst - Data Intelligence Group,3.7,"Pune, Mumbai, Bengaluru",360000,Diploma,1.0,"Computer science,Industry research,Fund administration,power bi,Data analytics,DBMS,QlikView,Operations",Data Analyst
Accenture,Big Data Analysis Tool and Techniques Application Developer,4.1,Jaipur,480000,Bachelors,0.0,"Business process,Data analysis,Unix shell scripting,SQL,Python,HDFS,SQLServer,Cassandra",Developer
Machintel Corporation,Data Analyst,3.3,Pune,1320000,Masters,7.0,"CDQA,primary research,Secondary Research,Zoominfo,Contact Discovery",Data Analyst
Accenture,Big Data Analysis Tool and Techniques Application Developer,4.1,Hyderabad,360000,Diploma,0.0,"Business process,Data analysis,Consulting,SQL,Python,Shell Script,Communication,Spark",Developer
Accenture,Analyst - Data Maintenance,4.1,Bengaluru,1800000,PhD,9.0,"Reconciliation,Consulting,Clinical research,Macros,Clinical data management,IT Skills,Tableau,Test scripts",Data Analyst
Vellore Institute of Technology (VIT),Data Analyst,4.3,Chennai,1080000,Masters,5.0,"Statistical Programming,Data Analytics,R Program,Python,data analysis",Data Analyst
VIAPROM Analytics,Senior Data Scientist,4.3,Kolkata,900000,Masters,2.5,"Python,Data Science,data Visualization,Tableau,Statistical Modelling,Machine Learning,SQL",Data Scientist
Blend360,Senior Data Scientist,4.3,Hyderabad,1320000,Masters,7.0,"Data Science,Artificial Intelligence,Machine Learning,Python,SQL,IT Skills,Big Data,Predictive Modeling",Data Scientist
Fusemachines,Senior Data Scientist,4.3,Pune,900000,Masters,2.5,"statistical analysis,statistical modeling,SciPy,Matplotlib,predictive modeling,Scikit,Altair,pandas",Data Scientist
Onpassive Technologies,Senior Data Scientist,3.3,Hyderabad,1080000,Bachelors,7.0,"Natural Language Processing,datascience,machine learning,Python,AI,Learning,CNNs,RNNs",Data Scientist
IQM Corporation,Senior Data Scientist,4.3,Ahmedabad,660000,Bachelors,2.5,"Machine Learning,analytical,visualization,Data Structures,Elastic - search,Data Studio,Power BI,Tableau",Data Scientist
Peak,Senior Data Scientist,4.3,Pune,1320000,Bachelors,9.0,"Loans,C,data science,Employee engagement,Machine learning,Equity,Natural language processing,Data mining",Data Scientist
Mondelez,Senior Data Scientist,4.5,"Mumbai, Thane",1080000,Bachelors,7.0,"metadata,Linux,data science,spark,Data modeling,Master data management,data visualization,Data mining",Data Scientist
Soulpage It,Sr . Data Scientist,4.5,Hyderabad,480000,Bachelors,1.0,"IT Skills,Python,Data Science,Machine Learning,Big Data,deep learning,metadata,Usage",Data Scientist
Neoris,Senior Data Scientist || Gurgaon,3.2,Temp. WFH - Gurgaon,840000,Bachelors,5.0,"Tensorflow,Data Science,Python,IT Skills,Machine Learning,Pytorch,R,Artificial Neural Networks",Data Scientist
Seven Consultancy (HR Solution),Senior Data Scientist,3.2,Chennai,1080000,Masters,5.0,"data science,big data analytics,Workflow management,Machine learning,Infrastructure,Data structures,Consultancy,Apache",Data Scientist
Seven Consultancy (HR Solution),Senior Data Scientist,3.2,Mumbai,1080000,Masters,5.0,"data science,Workflow management,OOPS,Machine learning,Infrastructure,Programming,Data structures,Apache",Data Scientist
Rooter Sports Technologies,Senior Data Scientist,4.3,Temp. WFH - Delhi NCR,660000,Bachelors,2.5,"Recommendations system,Data Science,deep learning,NLP,PERSONALIZATION",Data Scientist
Algo8,Senior Data Scientist,2.7,Noida,480000,Bachelors,1.0,"big data management,C,AI,deep learning,ML,Azure,rest API,coding",Data Scientist
Seven Consultancy (HR Solution),Senior Data Scientist,2.7,Delhi,480000,Bachelors,1.0,"data science,big data analytics,Workflow management,Machine learning,Infrastructure,Data structures,Consultancy,Apache",Data Scientist
Qventus,Sr . Data Scientist,2.7,REMOTE,660000,Bachelors,2.5,"Computer science,Operations research,data science,Artificial Intelligence,Machine learning,Healthcare,Natural language processing,Operations",Data Scientist
Accurate Legal Billing (alb),Data Scientist ( NLP ) / NLP Developer,2.7,Kochi,660000,Bachelors,2.5,"Mining,Computer science,Text mining,deep learning,Statistical analysis,data science,Machine learning,Management",Data Scientist
Soulpage It,Sr. Data Scientist,2.7,Hyderabad,660000,Bachelors,2.5,"Big Data,Deep Learning,Machine Learning,Data Science,NLP,AL,learning,Python",Data Scientist
novo,Senior Data Scientist,4.0,Gurgaon,660000,Bachelors,2.5,"Data management,data science,Cash flow,Data analytics,big data,Business banking,Analytics,SQL",Data Scientist
Ocrolus East,Senior Data Scientist,3.9,Gurgaon,720000,Masters,1.0,"Computer science,Automation,github,data science,Machine learning,Venture capital,Programming,Analytics",Data Scientist
lgoAnalytics,Senior Data Scientist,3.9,Pune,840000,Bachelors,5.0,"data science,Bfsi,Senior,Machine learning,Writing,Service,Time,Statistics",Data Scientist
XYENTA LIMITED,Senior Data Scientist,3.9,Remote,1080000,Bachelors,7.0,"data science,System integration,Actuarial,Data mining,big data,Financial services,Analytics,SQL",Data Scientist
Mom Project,Senior Data Scientist,3.9,Remote,1080000,Bachelors,7.0,"Product management,data science,Analytical,Machine learning,Flex,Equity,MOM,microsoft",Data Scientist
Anicalls,Data Engineer AI/Advance Analyst,4.7,Noida,660000,Bachelors,2.5,"ML,Cybersecurity Data science,network operations,AI,IT Skills,Data Science,Manager Technology,Statistics",Data Analyst
Gojek,Senior Product Manager - Data Platform,4.2,Gurgaon,660000,Bachelors,2.5,"Product management,advanced analytics,data science,Strategic partnerships,Analytical,Finance,Machine learning,Manager Technology",Other
CGI,Senior Data Analyst - PLM Data Migration,4.2,Bengaluru,720000,Masters,1.0,"PLM,Data migration,Test scripts,CGI,Packaging,PLM Data migration,ServiceNow,Teamcenter",Data Analyst
Dr Reddys,Business Engagement Manager - API,4.2,Hyderabad,660000,Bachelors,2.5,"Process automation,Data analysis,digital analytics,data science,Pharma,Analytical,Formulation,Consulting",Other
Dr Reddys,Business Consultant,4.2,Hyderabad,660000,Bachelors,2.5,"Process automation,Data analysis,Automation,Simulation,data science,Pharma,Formulation,Analytical",Other
Huquo Consulting Pvt. Ltd,Data Scientist - Insurance - IIM/ IIT/ NIT,4.2,Gurgaon,840000,Bachelors,5.0,"Data Science,Data Scientist,Artificial Intelligence,Data Management,Machine Learning,Statistics,Analytics,Python",Data Scientist
Huquo Consulting Pvt. Ltd,Manager - Data Scientist,4.2,Gurgaon,840000,Bachelors,5.0,"Event Management,Data Science,SAS,Data Analytics,Analytics",Data Scientist
Huquo Consulting Pvt. Ltd,Manager - Data Scientist - Analytics,4.2,Gurgaon,900000,Masters,2.5,"data analytics,Analytics,Python,Predictive Modeling,Data Science,NLP,SAS,Data Scientist",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist - Insurance - IIM/IIT/NIT,4.2,Gurgaon,660000,Bachelors,2.5,"Data Science,IT Skills,Python,Machine Learning,Project Management,BPO,project management,analytics",Data Scientist
CliqHR Recruitment Services,Data scientist,4.2,Kochi,360000,Diploma,1.0,"Data science,data analysis,Python,machine learning,Jupyter,pandas,IT Skills,Big Data",Data Scientist
NMS Consultant ,Data Scientist,4.2,"Pune, Trivandrum",660000,Bachelors,2.5,"python,sql,R,data science,Data Analytics,Deep Learning,Machine Learning,CI / CD",Data Scientist
Huquo Consulting Pvt. Ltd,Assistant Vice President - Data Scientist - KPO,4.2,India,1320000,PhD,5.0,"Data Science,Predictive Modeling,Business Intelligence,Data Scientist,Data Management,Data Visualization,Data Mining,Tableau",Data Scientist
Huquo Consulting Pvt. Ltd,Assistant Vice President - Data Scientist - KPO,4.2,India,960000,PhD,1.0,"Data Science,Predictive Modeling,Business Intelligence,Data Scientist,Data Management,Data Visualization,Data Mining,Tableau",Data Scientist
Huquo Consulting Pvt. Ltd,Assistant Vice President - Data Scientist - KPO,4.2,Delhi,1560000,PhD,7.0,"Data Science,Predictive Modeling,Business Intelligence,Data Scientist,Data Management,Data Visualization,Data Mining,Tableau",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist - Python - BFS - IIT/ DSE/ IIM/ NIT,4.2,"Delhi NCR, Gurgaon",1560000,PhD,7.0,"Data Science,Data Scientist,Data Visualization,seaborn,Data Structures,PySpark,scipy,Python",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist,4.2,"Delhi NCR, Gurgaon",480000,Bachelors,1.0,"Data Science,NLP,Data Scientist,Data Management,Data Visualization,Machine Learning,SQL,Python",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist - Python/Spark,4.2,Mumbai,360000,Diploma,1.0,"Python,Data Science,PMP,NLP,Project Management,Data Scientist,Data Management,Neural Networks",Data Scientist
IBM,Internship,4.2,Kochi,1320000,Masters,7.0,"automation framework,data science,Coding,Shell scripting,Javascript,communications,Java,java script",Other
Peoplefy Infosolutions Pvt. Ltd.  ,Data Scientist,4.2,Hybrid - Pune,840000,Bachelors,5.0,"SQL,Data Science,deep learning,machine learning,Python",Data Scientist
OPTIONS INDIA GROUP,Data Scientist - Digital Marketing Solutions,4.2,Kolkata,1080000,Masters,5.0,"Big Data Analytics,Data Science,Data Scientist,Artificial Intelligence,Big Data,Data Mining,Tableau,Machine Learning",Data Scientist
Huquo Consulting Pvt. Ltd,Lead - Data Scientist - Banking Domain - IIT/NIT/BITS,4.2,Gurgaon,480000,Diploma,2.5,"Data Science,Anomaly Detection,R,NLP,Data Mining,Text Mining,SVM,Machine Learning",Data Scientist
Huquo Consulting Pvt. Ltd,Lead - Data Scientist  - IIT/NIT/BITS,4.2,Gurgaon,660000,Bachelors,2.5,"Data Science,NLP,Data Scientist,Data Management,Data Mining,Data Visualization,Machine Learning,Python",Data Scientist
Huquo Consulting Pvt. Ltd,Lead Data Scientist - Deep Learning/Machine Learning,4.2,Gurgaon,480000,Diploma,2.5,"Natural Language Processing,Machine Learning,Deep Learning,Tensorflow,Python,Machine Learning Algorithm,Keras,JIRA",Data Scientist
Huquo Consulting Pvt. Ltd,Assistant Manager - Data Scientist - Insurance,4.2,Gurgaon,480000,Bachelors,1.0,"Data Science,NASDAQ,data extraction,SAS,marketing analytics,data automation,Python",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist - Deep Learning/Neural Networks,4.2,Gurgaon,1800000,PhD,9.0,"PyTorch,Keras,TensorFlow,Machine Learning,NumPy,scikit,Neural NetworksDeep Learning,data science",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist,4.2,Gurgaon,480000,Bachelors,1.0,"Predictive Modeling,Data Science,Data Scientist,Data Management,Statistical Modeling,Tableau,Data Analytics,Statistics",Data Scientist
Huquo Consulting Pvt. Ltd,Manager - Data Scientist/Python,4.2,Gurgaon,840000,Bachelors,5.0,"Data Science,NLP,Retail Analytics,Data Scientist,Data Management,Python",Data Scientist
Huquo Consulting Pvt. Ltd,Data Scientist,4.2,Gurgaon,1800000,PhD,9.0,"Data Science,Data Scientist,Data Management,Data Modeling,Data Analytics,Machine Learning,Analytics,SQL",Data Scientist
Huquo Consulting Pvt. Ltd,Associate Vice President - Data Scientist,4.2,Gurgaon,1320000,PhD,5.0,"Data Science,Big Data,Machine Learning,Analytics,Python,image processing,deep learning,tensorflow",Data Scientist
Peoplefy Infosolutions Pvt. Ltd.  ,Urgent Opening For Data Scientist,4.2,Hybrid - Pune(Kharadi),480000,Bachelors,1.0,"Data Science,Artificial Intelligence,Machine Learning,Azure cloud,AWS,Python,IT Skills,Cloud",Data Scientist
Accenture,Team Lead/Consultant-Data Science,4.1,Mumbai,480000,Bachelors,1.0,"Publishing,Consulting,Data mining,Analytics,SQL,Architecture,GCP,Machine learning",Data Scientist
CGI,Senior Software Engineer - Data Analyst,4.2,"Bengaluru, Hyderabad",480000,Bachelors,1.0,"Big Data,Python Data,Oracle,data flow,SQL,scrum,communication,Cloudera Hadoop",Data Analyst
